9.65,184.95,13.6,-0.41,0.2,0.37,2.7,RandomForestRegressor,1,0.3872786885848297,0.6637225595005467,0.4924389242891323,2.6379415991355604,6419,0.18,[100]
12.9,279.8,16.73,-0.96,0.15,0.3,2.31,RandomForestRegressor,1,0.05329683452054057,0.41348162949757206,0.014397333161259906,1.7745817035517728,16547,0.22,[100]
11.8,222.7,14.92,-1.18,0.05,0.11,5.08,RandomForestRegressor,1,0.4790785860281893,0.6021178639587563,0.4745703866060237,1.3547392844653028,2781,0.0,[100]
12.95,264.85,16.27,-0.9,0.05,0.24,2.38,RandomForestRegressor,1,0.1933531402051607,0.5112948573765631,0.9271292256040966,1.8959556587631305,18840,0.06,[100]
11.85,217.15,14.74,-1.15,0.15,0.27,3.16,RandomForestRegressor,1,0.19384820515782497,0.4145183229663294,1.5724334856412527,1.821640559791918,4520,0.02,[100]
4.25,36.65,6.05,-1.21,0.15,0.22,1.61,RandomForestRegressor,1,0.3325169042864018,0.505468297728668,1.317430760104862,1.6225111117309279,799,0.28,[100]
12.75,273.65,16.54,-0.84,0.25,0.38,1.5,RandomForestRegressor,1,0.19384820515782497,0.4145183229663294,0.2969254795034767,2.909662066958707,18738,0.2,[100]
9.95,209.75,14.48,-0.44,0.2,0.17,2.83,RandomForestRegressor,1,0.05329683452054057,0.41348162949757206,0.014397333161259906,1.7745817035517728,20750,0.02,[100]
9.85,192.05,13.86,-0.7,0.3,0.21,2.48,RandomForestRegressor,1,0.19384820515782497,0.4145183229663294,1.5724334856412527,1.821640559791918,3604,0.22,[100]
12.35,260.95,16.15,-0.85,0.2,0.34,1.45,RandomForestRegressor,1,0.19384820515782497,0.4145183229663294,0.2969254795034767,2.909662066958707,20179,0.14,[100]
7.1,111.9,10.58,-0.46,0.15,0.24,4.04,RandomForestRegressor,1,0.3325169042864018,0.505468297728668,1.317430760104862,1.6225111117309279,878,0.2,[100]
11.85,217.15,14.74,-1.15,0.15,0.27,3.16,RandomForestRegressor,1,0.19384820515782497,0.4145183229663294,1.5724334856412527,1.821640559791918,4520,0.02,[100]
11.85,217.15,14.74,-1.15,0.15,0.27,3.16,RandomForestRegressor,1,0.19384820515782497,0.4145183229663294,1.5724334856412527,1.821640559791918,4520,0.02,[100]
12.9,272.5,16.51,-0.8,0.2,0.22,2.68,RandomForestRegressor,1,0.1933531402051607,0.505468297728668,1.317430760104862,1.6225111117309279,5386,0.28,[100]
12.6,250.0,15.81,-0.74,0.15,0.31,2.3,RandomForestRegressor,1,0.3325169042864018,0.5112948573765631,0.9271292256040966,1.8959556587631305,6199,0.06,[100]
11.95,254.45,15.95,-1.06,0.2,0.33,2.05,RandomForestRegressor,1,0.1933531402051607,0.5112948573765631,0.3027811211277778,1.981521200779143,17157,0.27,[100]
10.4,188.9,13.74,-0.71,0.15,0.34,2.61,RandomForestRegressor,1,0.19384820515782497,0.4145183229663294,1.5724334856412527,1.8959556587631305,5167,0.06,[100]
11.9,239.0,15.46,-0.78,0.25,0.34,1.57,RandomForestRegressor,1,0.3325169042864018,0.5112948573765631,0.9271292256040966,1.821640559791918,5065,0.22,[100]
11.95,218.95,14.8,-0.81,0.05,0.3,0.91,RandomForestRegressor,1,0.3325169042864018,0.505468297728668,0.3027811211277778,1.981521200779143,6576,0.27,[100]
12.05,257.45,16.05,-0.77,0.25,0.24,1.63,RandomForestRegressor,1,0.19384820515782497,0.4145183229663294,1.5724334856412527,1.981521200779143,4650,0.27,[100]
10.4,218.1,14.77,-0.44,0.25,0.33,3.66,RandomForestRegressor,1,0.1933531402051607,0.5112948573765631,0.3027811211277778,1.821640559791918,21316,0.02,[100]
13.05,271.45,16.48,-0.86,0.15,0.29,2.23,RandomForestRegressor,1,0.05329683452054057,0.41348162949757206,0.014397333161259906,1.7745817035517728,18177,0.14,[100]
12.0,219.2,14.81,-1.15,0.05,0.14,3.7,RandomForestRegressor,1,0.19384820515782497,0.23197360321351834,0.2969254795034767,2.909662066958707,4961,0.2,[100]
12.9,267.7,16.36,-1.3,0.05,0.25,2.41,RandomForestRegressor,1,0.19384820515782497,0.5112948573765631,0.9271292256040966,1.821640559791918,14895,0.22,[100]
